,Step,Replicate,variable,value
0,0.0,1.0,agent1,0.10194140590695815
1,1.0,1.0,agent1,0.10333526283852155
2,2.0,1.0,agent1,0.10520044586620628
3,3.0,1.0,agent1,0.10723960640713817
4,4.0,1.0,agent1,0.10928713429206541
5,5.0,1.0,agent1,0.11133992313005966
6,6.0,1.0,agent1,0.11312562891160434
7,7.0,1.0,agent1,0.11533544592764082
8,8.0,1.0,agent1,0.11616418822526507
9,9.0,1.0,agent1,0.11845198041778998
10,10.0,1.0,agent1,0.09995797939545036
11,11.0,1.0,agent1,0.10191867713559243
12,12.0,1.0,agent1,0.10391879374479969
13,13.0,1.0,agent1,0.10520932437905774
14,14.0,1.0,agent1,0.10525793708720525
15,15.0,1.0,agent1,0.10733984234864083
16,16.0,1.0,agent1,0.1083257731740597
17,17.0,1.0,agent1,0.10867597451652557
18,18.0,1.0,agent1,0.11077534004103798
19,19.0,1.0,agent1,0.11296951668975774
20,20.0,1.0,agent1,0.10099508547868628
21,21.0,1.0,agent1,0.10289654547913019
22,22.0,1.0,agent1,0.10401511998895162
23,23.0,1.0,agent1,0.10463320763182224
24,24.0,1.0,agent1,0.10663836567799506
25,25.0,1.0,agent1,0.10852771673010221
26,26.0,1.0,agent1,0.11066957089333168
27,27.0,1.0,agent1,0.11194657551501475
28,28.0,1.0,agent1,0.114164070469267
29,29.0,1.0,agent1,0.11642935739428945
30,30.0,1.0,agent1,0.10116499048204344
31,31.0,1.0,agent1,0.10294024342026527
32,32.0,1.0,agent1,0.10481935593809892
33,33.0,1.0,agent1,0.10679808761630054
34,34.0,1.0,agent1,0.10882622771697521
35,35.0,1.0,agent1,0.11005977385706193
36,36.0,1.0,agent1,0.11220506229942286
37,37.0,1.0,agent1,0.11227123392468247
38,38.0,1.0,agent1,0.11412258791556025
39,39.0,1.0,agent1,0.11638547263879796
40,40.0,1.0,agent1,0.10195000000000001
41,41.0,1.0,agent1,0.10393806438188949
42,42.0,1.0,agent1,0.10596429949890926
43,43.0,1.0,agent1,0.10784985526402263
44,44.0,1.0,agent1,0.10995386376418965
45,45.0,1.0,agent1,0.11125547294347919
46,46.0,1.0,agent1,0.11340583372685176
47,47.0,1.0,agent1,0.1156220181840887
48,48.0,1.0,agent1,0.11644139639779545
49,49.0,1.0,agent1,0.11869861346382096
50,50.0,1.0,agent1,0.1013846074206543
51,51.0,1.0,agent1,0.10278410987323801
52,52.0,1.0,agent1,0.1044039358717773
53,53.0,1.0,agent1,0.10619947170406467
54,54.0,1.0,agent1,0.10821489792812253
55,55.0,1.0,agent1,0.11028274304448399
56,56.0,1.0,agent1,0.11195791153687969
57,57.0,1.0,agent1,0.11409427668652977
58,58.0,1.0,agent1,0.11630625308696496
59,59.0,1.0,agent1,0.1178061051445477
60,60.0,1.0,agent1,0.10183623212007388
61,61.0,1.0,agent1,0.10312933469737748
62,62.0,1.0,agent1,0.10514570611210503
63,63.0,1.0,agent1,0.10720082360764435
64,64.0,1.0,agent1,0.10828096519124863
65,65.0,1.0,agent1,0.11040358361396847
66,66.0,1.0,agent1,0.11249915790618666
67,67.0,1.0,agent1,0.1146216590026152
68,68.0,1.0,agent1,0.11562849955196315
69,69.0,1.0,agent1,0.11791620076199602
70,70.0,1.0,agent1,0.10195000000000001
71,71.0,1.0,agent1,0.10256625355164396
72,72.0,1.0,agent1,0.10384624573064229
73,73.0,1.0,agent1,0.10582266796057936
74,74.0,1.0,agent1,0.10783465291145665
75,75.0,1.0,agent1,0.10995024381529372
76,76.0,1.0,agent1,0.11210782803029443
77,77.0,1.0,agent1,0.11426732424578653
78,78.0,1.0,agent1,0.11647753898361103
79,79.0,1.0,agent1,0.11870173549337047
80,80.0,1.0,agent1,0.10195000000000001
81,81.0,1.0,agent1,0.10336057203441024
82,82.0,1.0,agent1,0.10537988615533915
83,83.0,1.0,agent1,0.10654179612908253
84,84.0,1.0,agent1,0.10806803714784813
85,85.0,1.0,agent1,0.11018940793468063
86,86.0,1.0,agent1,0.11209005851191668
87,87.0,1.0,agent1,0.11284310531597183
88,88.0,1.0,agent1,0.11342978623788724
89,89.0,1.0,agent1,0.11564409423247213
90,90.0,1.0,agent1,0.10191466440631697
91,91.0,1.0,agent1,0.10378619391501953
92,92.0,1.0,agent1,0.10577966019790935
93,93.0,1.0,agent1,0.10762078508004079
94,94.0,1.0,agent1,0.10834559257112777
95,95.0,1.0,agent1,0.10988850848635975
96,96.0,1.0,agent1,0.11205277070977115
97,97.0,1.0,agent1,0.11387223595160266
98,98.0,1.0,agent1,0.11591894466462808
99,99.0,1.0,agent1,0.11674156114346691
100,100.0,1.0,agent1,0.10193146974848431
101,101.0,1.0,agent1,0.10390212744720857
102,102.0,1.0,agent1,0.1059311665635726
103,103.0,1.0,agent1,0.10787359753020316
104,104.0,1.0,agent1,0.109905445665088
105,105.0,1.0,agent1,0.11205382625778086
106,106.0,1.0,agent1,0.11390727840104996
107,107.0,1.0,agent1,0.11598940913687399
108,108.0,1.0,agent1,0.11826101004608004
109,109.0,1.0,agent1,0.1205766679728282
110,110.0,1.0,agent1,0.1012703294924285
111,111.0,1.0,agent1,0.10324300069587335
112,112.0,1.0,agent1,0.10432622440965766
113,113.0,1.0,agent1,0.10636885437891111
114,114.0,1.0,agent1,0.1079331401007961
115,115.0,1.0,agent1,0.11003538935781061
116,116.0,1.0,agent1,0.11209230803936258
117,117.0,1.0,agent1,0.11429520298657063
118,118.0,1.0,agent1,0.11618892767419457
119,119.0,1.0,agent1,0.11825591160257196
120,120.0,1.0,agent1,0.10174834022346257
121,121.0,1.0,agent1,0.10360651709129486
122,122.0,1.0,agent1,0.10504242425720046
123,123.0,1.0,agent1,0.10709452107436784
124,124.0,1.0,agent1,0.10818719730541539
125,125.0,1.0,agent1,0.11026086685861539
126,126.0,1.0,agent1,0.1124338444417525
127,127.0,1.0,agent1,0.11332915995368964
128,128.0,1.0,agent1,0.11452089053075637
129,129.0,1.0,agent1,0.11604184968307046
130,130.0,1.0,agent1,0.10195000000000001
131,131.0,1.0,agent1,0.10388979732161682
132,132.0,1.0,agent1,0.10496157630495577
133,133.0,1.0,agent1,0.10677102427760946
134,134.0,1.0,agent1,0.1088111633950315
135,135.0,1.0,agent1,0.11094073482690094
136,136.0,1.0,agent1,0.11308479151772215
137,137.0,1.0,agent1,0.11521245542974341
138,138.0,1.0,agent1,0.1174637703042427
139,139.0,1.0,agent1,0.11966245257651174
140,140.0,1.0,agent1,0.10153486569721717
141,141.0,1.0,agent1,0.10351679770126705
142,142.0,1.0,agent1,0.10523712965375376
143,143.0,1.0,agent1,0.10697519113017599
144,144.0,1.0,agent1,0.10872438363724743
145,145.0,1.0,agent1,0.11078616801379045
146,146.0,1.0,agent1,0.1129012878941349
147,147.0,1.0,agent1,0.11509956438266304
148,148.0,1.0,agent1,0.11721270260025497
149,149.0,1.0,agent1,0.11951543380266527
150,150.0,1.0,agent1,0.10189034596130084
151,151.0,1.0,agent1,0.10387510626067453
152,152.0,1.0,agent1,0.10589154722463644
153,153.0,1.0,agent1,0.10795620915856112
154,154.0,1.0,agent1,0.1099102989395506
155,155.0,1.0,agent1,0.11157909651053599
156,156.0,1.0,agent1,0.11376323774829629
157,157.0,1.0,agent1,0.11598651677478304
158,158.0,1.0,agent1,0.11766500820556076
159,159.0,1.0,agent1,0.11997805013025578
160,160.0,1.0,agent1,0.10192554394362716
161,161.0,1.0,agent1,0.1039128347929371
162,162.0,1.0,agent1,0.10593854834017072
163,163.0,1.0,agent1,0.10769478029749543
164,164.0,1.0,agent1,0.10903216270039141
165,165.0,1.0,agent1,0.11116587247206335
166,166.0,1.0,agent1,0.11334219521256637
167,167.0,1.0,agent1,0.11556360893149602
168,168.0,1.0,agent1,0.117488919066523
169,169.0,1.0,agent1,0.11975548451930987
170,170.0,1.0,agent1,0.10195000000000001
171,171.0,1.0,agent1,0.10343735661216096
172,172.0,1.0,agent1,0.10528191906320702
173,173.0,1.0,agent1,0.10715629216255369
174,174.0,1.0,agent1,0.10890465636079036
175,175.0,1.0,agent1,0.11104164750997483
176,176.0,1.0,agent1,0.11297249248608923
177,177.0,1.0,agent1,0.11455265148305767
178,178.0,1.0,agent1,0.11678845736307404
179,179.0,1.0,agent1,0.11890792996273662
180,180.0,1.0,agent1,0.10172041661108637
181,181.0,1.0,agent1,0.1037045661657174
182,182.0,1.0,agent1,0.10572681693715988
183,183.0,1.0,agent1,0.10778497179716831
184,184.0,1.0,agent1,0.10966993688884226
185,185.0,1.0,agent1,0.11121193915364878
186,186.0,1.0,agent1,0.11338385489863775
187,187.0,1.0,agent1,0.11558431275740556
188,188.0,1.0,agent1,0.11780530983480188
189,189.0,1.0,agent1,0.1201058885290731
190,190.0,1.0,agent1,0.10179668453773333
191,191.0,1.0,agent1,0.10377714982749675
192,192.0,1.0,agent1,0.10535928544084869
193,193.0,1.0,agent1,0.1074163171361047
194,194.0,1.0,agent1,0.10946220803768422
195,195.0,1.0,agent1,0.11160484309272402
196,196.0,1.0,agent1,0.11377087873570514
197,197.0,1.0,agent1,0.11568539333880577
198,198.0,1.0,agent1,0.1179188099758007
199,199.0,1.0,agent1,0.12022733522713913
200,0.0,2.0,agent1,0.10187509077047444
201,1.0,2.0,agent1,0.1038645171273224
202,2.0,2.0,agent1,0.10566779949312441
203,3.0,2.0,agent1,0.10773184025994921
204,4.0,2.0,agent1,0.10910607325406937
205,5.0,2.0,agent1,0.11050291300270983
206,6.0,2.0,agent1,0.1108804141868157
207,7.0,2.0,agent1,0.11231494784233921
208,8.0,2.0,agent1,0.1131022354517969
209,9.0,2.0,agent1,0.11535273311453524
210,10.0,2.0,agent1,0.10175000000000001
211,11.0,2.0,agent1,0.10343057384340638
212,12.0,2.0,agent1,0.10530784337440852
213,13.0,2.0,agent1,0.10720966331374453
214,14.0,2.0,agent1,0.10920180335581818
215,15.0,2.0,agent1,0.11125837302523488
216,16.0,2.0,agent1,0.11157666733400814
217,17.0,2.0,agent1,0.11323696898580295
218,18.0,2.0,agent1,0.1154821716041607
219,19.0,2.0,agent1,0.11658197531245233
220,20.0,2.0,agent1,0.10195000000000001
221,21.0,2.0,agent1,0.10352355419547524
222,22.0,2.0,agent1,0.10479516812409631
223,23.0,2.0,agent1,0.10667899536357917
224,24.0,2.0,agent1,0.10876781395629538
225,25.0,2.0,agent1,0.1108220312655684
226,26.0,2.0,agent1,0.11175136320311724
227,27.0,2.0,agent1,0.11263411587823312
228,28.0,2.0,agent1,0.11432525320081227
229,29.0,2.0,agent1,0.11497285120310252
230,30.0,2.0,agent1,0.10189851900457654
231,31.0,2.0,agent1,0.10352428108948256
232,32.0,2.0,agent1,0.10468848465906284
233,33.0,2.0,agent1,0.1062965834302522
234,34.0,2.0,agent1,0.10787152713225424
235,35.0,2.0,agent1,0.10998936102493742
236,36.0,2.0,agent1,0.1121478294810096
237,37.0,2.0,agent1,0.11434829934064783
238,38.0,2.0,agent1,0.1165631933563412
239,39.0,2.0,agent1,0.11673595724914998
240,40.0,2.0,agent1,0.10192084608748901
241,41.0,2.0,agent1,0.10381033749578934
242,42.0,2.0,agent1,0.10530540995298902
243,43.0,2.0,agent1,0.10661199550323246
244,44.0,2.0,agent1,0.10792778572479728
245,45.0,2.0,agent1,0.10995442403140157
246,46.0,2.0,agent1,0.11103131127815577
247,47.0,2.0,agent1,0.11314932870789009
248,48.0,2.0,agent1,0.11531763826972204
249,49.0,2.0,agent1,0.11668187660332546
250,50.0,2.0,agent1,0.10165485219702725
251,51.0,2.0,agent1,0.1022618502686678
252,52.0,2.0,agent1,0.10422100751263763
253,53.0,2.0,agent1,0.10620682061681119
254,54.0,2.0,agent1,0.10776954027720523
255,55.0,2.0,agent1,0.10982764407992997
256,56.0,2.0,agent1,0.11177550623540425
257,57.0,2.0,agent1,0.11396486214160481
258,58.0,2.0,agent1,0.11477992313633725
259,59.0,2.0,agent1,0.11502249205291325
260,60.0,2.0,agent1,0.10126875919532641
261,61.0,2.0,agent1,0.10285826458649368
262,62.0,2.0,agent1,0.10413869222722466
263,63.0,2.0,agent1,0.1054156612029818
264,64.0,2.0,agent1,0.10749665239343248
265,65.0,2.0,agent1,0.10919190212335855
266,66.0,2.0,agent1,0.1113594028690394
267,67.0,2.0,agent1,0.1135687567354212
268,68.0,2.0,agent1,0.11569839512649996
269,69.0,2.0,agent1,0.11732148484540894
270,70.0,2.0,agent1,0.10069718541749739
271,71.0,2.0,agent1,0.10253776674451426
272,72.0,2.0,agent1,0.10454329688454846
273,73.0,2.0,agent1,0.10610804198839906
274,74.0,2.0,agent1,0.10818778641129459
275,75.0,2.0,agent1,0.10981138469143152
276,76.0,2.0,agent1,0.11089171833427584
277,77.0,2.0,agent1,0.11185885588746423
278,78.0,2.0,agent1,0.1135831792826558
279,79.0,2.0,agent1,0.11582747439381819
280,80.0,2.0,agent1,0.10194544349279092
281,81.0,2.0,agent1,0.10364483529334519
282,82.0,2.0,agent1,0.10566625922631154
283,83.0,2.0,agent1,0.10765008951498944
284,84.0,2.0,agent1,0.10966881187609102
285,85.0,2.0,agent1,0.11181343643432623
286,86.0,2.0,agent1,0.11286702683855346
287,87.0,2.0,agent1,0.11501849964700718
288,88.0,2.0,agent1,0.11606948490444416
289,89.0,2.0,agent1,0.11821082056428658
290,90.0,2.0,agent1,0.10186181632654102
291,91.0,2.0,agent1,0.10380058422099564
292,92.0,2.0,agent1,0.10582479960146626
293,93.0,2.0,agent1,0.10788824125404946
294,94.0,2.0,agent1,0.10999151424237036
295,95.0,2.0,agent1,0.11149594900736902
296,96.0,2.0,agent1,0.11367642487162963
297,97.0,2.0,agent1,0.11483970684775736
298,98.0,2.0,agent1,0.11639906325721375
299,99.0,2.0,agent1,0.11817807017078957
300,100.0,2.0,agent1,0.10191700392197603
301,101.0,2.0,agent1,0.10384365165739262
302,102.0,2.0,agent1,0.10525976276717293
303,103.0,2.0,agent1,0.10720921443417807
304,104.0,2.0,agent1,0.10928632471944126
305,105.0,2.0,agent1,0.11099502883827801
306,106.0,2.0,agent1,0.11317900315379349
307,107.0,2.0,agent1,0.11540967483602194
308,108.0,2.0,agent1,0.11724986212956293
309,109.0,2.0,agent1,0.11924000365173587
310,110.0,2.0,agent1,0.10155033877011557
311,111.0,2.0,agent1,0.10308079479539678
312,112.0,2.0,agent1,0.10440254870885565
313,113.0,2.0,agent1,0.10644458774522463
314,114.0,2.0,agent1,0.10770375450438122
315,115.0,2.0,agent1,0.10981439795904327
316,116.0,2.0,agent1,0.11196566515690441
317,117.0,2.0,agent1,0.11351558936925267
318,118.0,2.0,agent1,0.11549230106041547
319,119.0,2.0,agent1,0.1177587810660861
320,120.0,2.0,agent1,0.10179897479160062
321,121.0,2.0,agent1,0.10320422094509892
322,122.0,2.0,agent1,0.10514052746275761
323,123.0,2.0,agent1,0.10676558264624855
324,124.0,2.0,agent1,0.10885710576544312
325,125.0,2.0,agent1,0.11085520341317477
326,126.0,2.0,agent1,0.11271738762311105
327,127.0,2.0,agent1,0.11397184249113403
328,128.0,2.0,agent1,0.11617054735794721
329,129.0,2.0,agent1,0.11831998685418545
330,130.0,2.0,agent1,0.1016172537902239
331,131.0,2.0,agent1,0.10287547303456393
332,132.0,2.0,agent1,0.1043303389075907
333,133.0,2.0,agent1,0.10600355808407275
334,134.0,2.0,agent1,0.10798328331457421
335,135.0,2.0,agent1,0.10962041564823391
336,136.0,2.0,agent1,0.11173797334219389
337,137.0,2.0,agent1,0.11392181648976317
338,138.0,2.0,agent1,0.11573162910814343
339,139.0,2.0,agent1,0.1173611162980153
340,140.0,2.0,agent1,0.10165980084662499
341,141.0,2.0,agent1,0.10361094841884033
342,142.0,2.0,agent1,0.10542963345434275
343,143.0,2.0,agent1,0.10709941565868765
344,144.0,2.0,agent1,0.10866653040210973
345,145.0,2.0,agent1,0.11062466029884058
346,146.0,2.0,agent1,0.11279395076062262
